The original cirth writing "Certhas Daeron" was created by the elf Daeron, the minstrel of king Thingol of Doriath and was later expanded into what was known as the Angerthas Daeron. Although the Cirth were later largely replaced by the Tengwar (which were enhanced and brought by Fëanor), they were adopted by Dwarves to write down their Khuzdul language (Angerthas Moria and Angerthas Erebor) because their straight lines were better suited to carving than the curved strokes of the Tengwar.   -------   Note: some pronunciations vary by Kindred, hence the phonetical pronounciation is noted for both Eastern Dwarrow Kindreds (Blacklocks, Ironfists, Stiffbeards and Stonefoots), Central* Kindred (Longbeards) and for the Western Dwarrow Kindreds (Broadbeams and Firebeards).  As you'll notice most consonants are the same (apart from "r" , "h", "gh" and "j"), the different pronounciation is mainly in the vowels.  *The Western Dwarrow Kindreds use identical consonants (except "nd") as those seen with the Longbeards.   The Eastern pronounciation is likely the one considered most true to the words of Mahal, due to the contact with the Elves in the West by the Western and Central Dwarrow Kindreds.  --- in the year 3019 TA Angerthas Moria and Angerthas Erebor are both used by the Dwarves of the West (although Moria style is by far the most used) - It is likely the Dwarves of the East use Angerthas Moria, though it is possible they have a different writing form altogether.    																														
A.M Code	A.E Code	<= Back to Menu	Angerthas Moria	letter to type	Angerthas Erebor	letter to type	KHUZDUL RUNE NAME	A.M Code	A.E Code	Phonetic type of sound	Phonetical Symbol (Western)	Phonetical Symbol (Central)	Phonetical Symbol (Eastern)	Sounds like	Tips to pronounce															
AM001	AE001	_	g	g	g	g	"'om"	AM001	AE001	Glottal stop	ʔ	ʔ	ʔ	(English Cockney) "t" in "cat" [kʰɛ̝ʔ] / (North American) "tt" in "button" [bʌʔn̩] / (French) "h" in "haut" / (Dutch) sound between "be" and "amen" in "beamen"																
AM002	AE002	a	c	c	c	c	"an"	AM002	AE002		ɑ	ɑ	ä	WEST: (English) think of it as a short "a" in "ah!" / (Duth) "a" in "bad" / (French) "â" in "pâte" / (German) "a" in "Tag" // EAST: (French) "a" in "patte" / (Portuguese) "á" in "vá" / (Scottish Gaelic) "a" in "slat																
AM003	AE003	â	v	v	v	v	"siginan" (long A)	AM003	AE003		ɑ:	ɑ:	ä:	WEST: (English) as "ah!" / (British English) "a" in "father" / (American English) "a" in "call" / (German) "a" in "Rat" // EAST:  (Australian English) "ar" in "car" / (Dutch) "aa" in "zaal" / (Southern American) "i" in "time"																
AM004	AE004	b	2	2	2	2	"batu"	AM004	AE004	voiced bilabial plosive	b	b	b	(English) "b" in "bean" / (Dutch) "b" in "boer" / (French) "b" in "boue" / (German) "B" in "Bub"																
AM005	AE005	ch	#	#	#	#	"cham"	AM005	AE005	WEST (CENTER): voiceless velar fricative // EAST: Voiceless uvular fricative	x	x	χ	WEST: (ENGLISH/Scottish) "ch" in "loch" /(GERMAN) "ch" in "kuchen" / (Dutch) "ch" in "acht"  // EAST:  Similar to West, but harsher																
AM006	AE006	d	9	9	9	9	"datu"	AM006	AE006	voiced alveolar plosive	d	d	d	(English) "d" in "admit" / (Dutch) "d" in "dak" / (French) "d" in "dais" / (German) "D" in "Dach"																
AM007	AE007	dh	!	!	!	!	"dhamu"	AM007	AE007	heavily aspired voiced alveolar plosive	dʰ	dʰ	dʰ	Heavily aspired form of "d"																
AM008	AE008	e	z	z	z	z	"en"	AM008	AE008		ɛ	ɛ	ɛ	(English/Dutch) "e" in "bed" / (French) "ê" in "bête" / (German) "e" in "Bett"																
AM009	AE009	è	/	/	>	>	"ènè"	AM009	AE009		ə	ə	ə	"schwa" - (English), the most common vowel sound in English "a" in "about", "u" in "supply",  "i" in "pencil"																
AM010	AE010	ê	x	x	x	x	"siginen" (long E)	AM010	AE010		e:	e:	e	WEST: (Scottish English) "ay" in "play" / (French) "é" in "beauté" / (Dutch) "ee" in "vreemd" / (German) "ee" in Seele  // EAST: similar to WEST but made shorter																
AM011	AE011	f	3	3	3	3	"fam"	AM011	AE011	voiceless labiodental fricative	f	f	f	(English) "f" in "fill" / (Dutch) "f" in "fiets" / (German) "f" in "fade" / (French) "f" in "fabuleuse"																
AM012	AE012	g	r	r	R	R	"gatu"	AM012	AE012	voiced velar plosive	ɡ	ɡ	ɡ	(English) "g" in "gaggle" / (French) "g" in "gain" / (Dutch) "k" in "zakdoek / (German) "g" in "Lüge"																
AM013	AE013	gh	y	y	T	T	"ghamu"	AM013	AE013	Voiced velar fricative	gʰ	gʰ	gʰ	heavily aspired form of "g"																
AM014	AE014	h	f	f	f	f	"ham"	AM014	AE014	voiceless glottal transition	h	h	h:	WEST (and Central): (English) "h" in "high" / (German) "H" in "Hass" / (Dutch) "h" in "haat"  // EAST:  same sound as WEST but longer																
AM015	AE015	hw	5	5	5	5	"uhwêsî"	AM015	AE015	Voiceless labio-velar approximant	ʍ	ʍ	ʍ	(Scottish English / Southern American English) "wh" in "whine"  / similar to (Irish English) "wh" in "what"	a strong aspired airsound preceeds the "w"															
AM016	AE016	hy	A	A	A	A	"hyam"	AM016	AE016	Voiceless pharyngeal fricative	ħ	ħ	ħ	(Hebrew) first sound in חַשְׁמַל 	Its manner of articulation is fricative, which means it is produced by constricting air flow through a narrow channel at the place of articulation, causing turbulence.   Tip:  The sound made when you breath heavily on a piece of glass before you polish it.															
AM017	AE017	i	l	l	l	l	"ir"	AM017	AE017		i	ɪ	ɪ	WEST: (Dutch) "ie" in "biet" / (French) "i" in "fini" / (Spanish) "i" in "tipo" // EAST: (English) "i" in "hit" / (Dutch) "i" in "zit"  / (German) "i" in "bitte" 																
AM018	AE018	î	"	"	"	"	"siginir" (long i)	AM018	AE018		i:	i:	i:	(English) "ee" as in "free" / (Faroese) "i" as in "il" / (German) "ie" in "Ziele" / (Dutch) "ie" in "fier"																
AM019	AE019	j	R	R	$	$	"jatu"	AM019	AE019	WEST: voiced palato-alveolar affricate / EAST: voiced palato-alveolar fricative	d͡ʒ	d͡ʒ	ʒ	WEST (and Central): (English) "j" in "jump / (French) "dj" in "djinn" / (German) "Dsch" in "Dschungel"  // EAST: (ENGLISH) "si" in "vision" / (Dutch/German) "g" in "garage / (French) "j" in "jour"																
AM020	AE020	k	e	e	e	e	"kam"	AM020	AE020	Voiceless velar plosive 	k	k	k	(ENGLISH) "k" in kiss																
AM021	AE021	kh	eV	eV	t	t	"khamu"	AM021	AE021	heavily aspired voiceless velar plosive	kʰ	kʰ	kʰ	Heavily Aspired - similar to (ENGLISH) "k" in "King"																
AM022	AE022	l	a	a	a	a	"lal"	AM022	AE022	alveolar lateral approximant ("clear l")	l	l	l	(English) "l" in "let" / (Dutch) "l" in "leven" / (French) "l" in "il" / (German) "L" in "Liebe"																
AM023	AE023	lh	s	s	s	s	"lhalu"	AM023	AE023	heavily aspired alveolar lateral approximant	lʰ	lʰ	lʰ	Heavily Aspired version of "l"																
AM024	AE024	m	6	6	6	6	"mi"	AM024	AE024	bilabial nasal	m	m	m	(English) "m" in "him" / (Dutch) "m" in "mond" / (French) "m" in "manger" / (German) "m" in "rühmen"																
AM025	AE025	n	,	,	,	,	"nibum"	AM025	AE025	alveolar nasal	n	n	n	(English) "n" in "nice"																
AM026	AE026	nd	d	d	d	d	"undun"	AM026	AE026		nd	nd	nd	construction of "n" and "d" sounds																
AM027	AE027	ng	j	j	j	j	"angam"	AM027	AE027		ng	ng	ng	construction of "n" and "g" sounds (Note: note an " ɲ " sound)																
AM028	AE028	nj	K	K	K	K	"inja"	AM028	AE028		nd͡ʒ	nd͡ʒ	nd͡ʒ	construction of "n" and "d͡ʒ" sounds																
AM029	AE029	ŋ	h	h	h	h	"aviŋ"	AM029	AE029		ŋ:	ŋ	ŋ	(English) "ng" in "sing" / (Dutch) "ng" in "angst" / (French) "ng" in "parking" / (German) "ng" in "lang" // Note: Western Kindred pronounce this consonant longer then others.																
AM030	AE030	o	b	b	b	b	"on"	AM030	AE030		ɔ	ɔ	ɔ	(English) "o" in "pot" / (Dutch) "o" in "bot" / (French) "o" in "sort" / (German) "o" in "voll" / (Faroese) "o" in "morgun"																
AM031	AE031	ô	n	n	M	M	"siginon" (long O)	AM031	AE031		oː	oː	ɔ:	WEST: (Irish/Welsh English) "one" in "bone" /  (Dutch) "oo" in "kool" / (French) "eau" in "rèseau" / (German) "oh" in "Kohl"  // EAST: (British English) "our" in "four" / (Italian) "o" in "parola" / (West Frisian) "ô" in "bôle"																
AM032	AE032	ö	<	<	m	m	"narâkhon" (harsh O)	AM032	AE032		ɔ:	ɔ:	oː	WEST: (British English) "our" in "four" / (Italian) "o" in "parola" / (West Frisian) "ô" in "bôle" // EAST: (Irish/Welsh English) "one" in "bone" /  (Dutch) "oo" in "kool" / (French) "eau" in "rèseau" / (German) "oh" in "Kohl"																
AM033	AE033	p	1	1	1	1	"pami"	AM033	AE033	voiceless bilabial plosive	p	p	p	(English) "p" in "pack" / (Dutch) "p" in "plicht" / (French) "p" in "pomme" / (German) "P" in "Pack"																
AM034	AE034	ps	1.	1.	X	X	"psubam"	AM034	AE034	voiceless bilabial plosive (stressed) followed by voiceless alveolar sibilant (faint)	ps	ps	ps	contruction of stressed "p" with faint "s"																
AM035	AE035	r	@	@	@	@	"rarur"	AM035	AE035	alveolar trill 	r	r	R	WEST (and Central): "more like the Scottich "r" - (Dutch) "r" in "rood" / (Finnish) "rr" in "purra" / (Scots) "r" in "wir" / (Spanish) "rr" in "perro"  // EAST: "more like the French "R"/ (French) "r" in "rouge"																
AM036	AE036	s	.	.	.	.	"sasus"	AM036	AE036	voiceless alveolar sibilant	s	s	s	(English) "s" in "sand" / (Dutch) "s" in "steen" / (French) "ç" in "façade" / (German) "ss" in "Biss"																
AM037	AE037	sh	%	%	%	%	"shashum"	AM037	AE037	voiceless palato-alveolar fricative 	ʃ	ʃ	ʃ	(English) "sh" in "sheep" / (Dutch) "sj" in "sjabloon" / (German) "sch" in "schön" / (Hebrew) first sound in "שלום" [ʃalom]																
AM038	AE038	t	8	8	8	8	"tutum"	AM038	AE038	voiceless alveolar plosive	t	t	t	(English) "t" in "stand" / (Dutch) "t" in "taal / (French) "t" in "tordu" / (German) "T" in "Tochter"																
AM039	AE039	th	0	0	0	0	"thamu"	AM039	AE039	heavily aspired voiceless alveolar plosive	tʰ	tʰ	tʰ	Heavily aspired form of "t", similar to (English) "t" in "torn"																
AM040	AE040	ts	8.	8.	C	C	"tsubam"	AM040	AE040	voiceless alveolar plosive (stressed) followed by voiceless alveolar sibilant (faint)	ts	ts	ts	contruction of stressed "t" with faint "s"																
AM041	AE041	u	S	S	S	S	"unu"	AM041	AE041		ʊ	ʊ	u	WEST (and central) : (English) "oo" in "hook" / (German) "u" in "Schutz" / (Dutch) "oe" in "doek"  EAST : (Italian) "u" in "tutta" / (Scottish Gaelic) "u" in "gu"																
AM042	AE042	ù	Z	Z	?	?	"ùt"	AM042	AE042	Open-mid back unrounded vowel	ʌ	ʌ	ʌ	(English) "u" in "butter"  [bʌtə]																
AM043	AE043	û	D	D	G	G	"siginunu" (long U)	AM043	AE043		u:	u:	u:	(English) "oo" in "food" / (Dutch) "oe" in "boer" / (German) "u" in "Fuß" / (French) as "ou?"																
AM044	AE044	ü	G	G	L	L	"narâkhunu" (harsh U)	AM044	AE044		øː	øː	ʉ	WEST: (Dutch) "eu" in "keuken" / (French) "eu" in "peu" / (German) "ö" in "schön" / (Faroese) "ø" in "øl" // EAST: (English Cockney or English Australian) "oo" in "boot" / (Welsh) "ŵ" in "dŵr"																
AM045	AE045	v	4	4	4	4	"vatu"	AM045	AE045	voiced labiodental fricative	v	v	v	(English/French) "v" in "valve" / (Dutch) "v" in "vreemd" / (German) "W" in "Wächter"																
AM046	AE046	w	F	F	F	F	"wur"	AM046	AE046	voiced labiovelar approximant	w	w	w	(English) "w" in "weep" / (French) "ou" in "oui" / (Dutch) "w" in "welp"																
AM047	AE047	y	;	;	;	;	"yamuy"	AM047	AE047	palatal approximant	j	j	j	(English) "y" in "you" / (Dutch) "j" in "jaar" / (French) "y" in "yaourt" / (German) "J" in "Joch"																
AM048	AE048	z	w	w	D	D	"zatu"	AM048	AE048	voiced alveolar fricatives	z	z	z	(English) "z" in "size" / (Dutch) "z" in "zee" / (French) "z" in "zèbre" / (German) "s" in "süß"																
AM049	AE049	zh	T	T	q	q	"zhamu"	AM049	AE049	heavily aspired voiced alveolar fricatives	zʰ	zʰ	zʰ	Heavily aspired form of "z"																
AM050	AE050	space	I	I	I	I	"serej" (empty)	AM050	AE050		] [	] [	] [																	
AM051	AE051	&	B	B	B	B	"ra" (and)	AM051	AE051																					
AM052	AE052	c						AM052	AE052																					
